ym,vid,n_cardtip,m_allin,m_nocbd,m_fare
2024-07,1,440099,0.1991847288905451,0.1991847288905451,0.026260000590776166
2024-07,2,1477491,0.6710078098614476,0.6710078098614476,0.016899595327484227
2024-08,1,412870,0.19794850679390608,0.19794850679390608,0.02678082689466418
2024-08,2,1425137,0.6685322183060295,0.6685322183060295,0.01723272920428001
2024-09,1,519025,0.20269351187322382,0.20269351187322382,0.027156688020808246
2024-09,2,1714737,0.6705127375218474,0.6705127375218474,0.01719155765578045
2024-10,1,577515,0.20531587924123182,0.20531587924123182,0.027327428724795027
2024-10,2,1880434,0.6761237033578419,0.6761237033578419,0.017122111172208118
2024-11,1,546782,0.20654666759330043,0.20654666759330043,0.02757223171209001
2024-11,2,1810152,0.6792225183299524,0.6792225183299524,0.01685493814884054
2024-12,1,527736,0.20828785604923675,0.20828785604923675,0.025435066017857413
2024-12,2,1840794,0.686411407251436,0.686411407251436,0.016160417732782702
2024-12,7,180,0.7833333333333333,0.7833333333333333,0.0
2025-01,1,472171,0.17305806582784627,0.0675348549572083,0.016159399878433872
2025-01,2,1669965,0.6722566041803272,0.21486258694044486,0.014803903075812965
2025-01,7,997,0.7753259779338014,0.24172517552657974,0.011033099297893681
2025-02,1,464299,0.16655431090741096,0.047256186207594676,0.014755577763467077
2025-02,2,1581603,0.6671478240746888,0.14726261900110205,0.014263377092734397
2025-02,7,3606,0.7420965058236273,0.20687742651136995,0.011647254575707155
2025-03,1,495091,0.16699354260125918,0.04498970896259476,0.014686189003637716
2025-03,2,1829185,0.6687617709526373,0.13530233409961268,0.014640399959544824
2025-03,7,16930,0.7640874187832251,0.16851742468989958,0.011872415829887774
2025-04,1,478491,0.16710241153961097,0.04722554865190777,0.014815325680106836
2025-04,2,1826562,0.6695294219413302,0.1397872067852063,0.014736428328192528
2025-04,7,26610,0.7522360015031943,0.18391582111987975,0.012213453588876362
2025-05,1,513427,0.1671123645620507,0.04800877242529123,0.015199823928231278
2025-05,2,1884380,0.6613406000912767,0.14128201318205458,0.014696080408410193
2025-05,7,50150,0.7413359920239282,0.1801395812562313,0.012562313060817547
2025-06,1,461413,0.16584925002113074,0.04514610554969192,0.014520613853532519
2025-06,2,1709442,0.6632649718446136,0.13285680356513996,0.014497713288897781
2025-06,7,53040,0.7358220211161388,0.1699660633484163,0.01217948717948718
