ym,v,n,pos_sh,mean_rate,mean_fare,mean_extra,mean_taxtoll,gapshare,b1,b2,b3,b4
2012-04,1,3505383,0.9809510116298276,0.210799105349772,11.08288215581997,0.3237418792753887,0.7553831350234036,0.069475163016828,0.009229804560585819,0.0063482364123977324,0.480286462278159,0.5085481386770004
2012-04,2,2638351,0.9648901908805917,0.20118986142776232,11.274755978267308,0.33052027573283466,0.7773559280037338,0.06957607503442875,0.2730307680820331,0.5725652121343976,0.009656031362013621,0.009610548406940547
2012-05,1,3588475,0.9809765986944314,0.21072867144044333,11.326822706026505,0.3233511617051812,0.7695904583413951,0.06888390236842551,0.009043395871505305,0.006119312521335665,0.4827677495314862,0.5127203059795595
2012-05,2,2840058,0.9651081069471117,0.20109798643422946,11.537409031793263,0.3244856267019899,0.7970392294815157,0.0692134822646951,0.2836107572450985,0.5808789820489582,0.00913995418403427,0.009145587871796984
2012-06,1,3571867,0.9809010245902213,0.21115974131442175,11.273926951930845,0.3261352060421063,0.7629791758754924,0.06877555141796722,0.009154596181772726,0.006167082928899648,0.48568633714525206,0.5148145213693567
2012-06,2,3485130,0.9639649023135436,0.20135684879474547,11.483099227291634,0.3321010980939018,0.7903986508383908,0.06908709321420003,0.27744273527816754,0.5903449799577061,0.008810862148614255,0.00880942748190168
2012-10,1,3630212,0.9792764169144943,0.20116551981110617,13.111053781432023,0.32231916207648476,0.757649093220319,0.0606354985477373,0.036619899884634835,0.02348512979407263,0.5470024891108288,0.5742694916991073
2012-10,2,3578273,0.9626716575286458,0.1928020651345128,13.333778456814183,0.3279164418142495,0.7850311560902489,0.06102547537017672,0.3209936748817097,0.6169397919052012,0.01697886103156467,0.01737793622789541
2013-04,1,3851361,0.9800545833018509,0.20218988234558058,12.863691500225446,0.3303069200731897,0.7721338872174344,0.061973607485156804,0.03818156750302036,0.023691105559826772,0.5558634986437262,0.5583774151527213
2013-04,2,3910124,0.9646630132445928,0.19323054029632214,13.065591323957955,0.3324812716936854,0.798399979133374,0.06227603513596598,0.3258556506136378,0.6301608337740696,0.01799405850044653,0.018066690468128376
2013-05,1,3995918,0.9761426535779764,0.20076683560557868,13.175613043110417,0.3243357696529307,0.7913012028797799,0.06152418743740681,0.03655305238996396,0.02300497657859846,0.5516151732843366,0.5540343920971351
2013-05,2,4059503,0.9635507105180117,0.1927327565915941,13.401593517728585,0.3297633971449214,0.8214291084426928,0.06185454072623633,0.32529474667219116,0.6312787550594248,0.017948748898572068,0.0180258519331061
